sentence,emotion
i feel that we all long for a soulmate even the most casual player,joy
i leave the option of spanking out i feel a little helpless,fear
im feeling amused background noise mock the week,joy
i can feel the positive energies of at least a dozen women in this place,joy
ive been feeling really ugly lately and i havent been going out because of that,sad
i honestly feel respected when we text,joy
i feel too rude to be worh your time,anger
i also kind of need to stop feeling guilty for feeling tired,sad
i ate great and whats even better is that i feel terrific,joy
i could feel was peace which was welcomed after a week of packing saying good bye and dealing with an overwhelming feeling of displacement,joy
i cant tell exactly what i feel whether it be sympathetic or empathetic,love
i feel so lonely and i think id like a mate,sad
i have received so many emails cards and phone calls wishing me well that i feel so special,joy
i love being i feel so fucking invigorated and um allowed to have condoms in my nightstand,joy
i was not longer crying or feeling sorry for myself,sad
i am trying to say is i am feeling a bit cranky please just give me my pizza,anger
i think wherever i pick i should feel more of that eager willing to go spirit,joy
i have been feeling a bit impatient maybe that is cause my meds are not working well today,anger
i often feel helpless,fear
i wonder what this season is about but also when i feel hopeful about it,joy
i feel like i sort of missed it whole years gone and now its too late to give him a sibling a dog he can grow up with i almost missed giving him a yard,sad
i do or a way in which i act or whatever that makes cameron feel needy and as soon as he steps into the house and i am there he relies on me as his soothing and sleeping mechanism,sad
ive never experienced the extremes of vanity so the feeling of hey you know what face this is acceptable is like a tidal wave compared to most peoples ripple in a pond,joy
im talking about feeling casual and relax here,joy
i started to feel grumpy,anger
i feel smart because were talking about stuff that i already know from a href http spiralsandspatulas,joy
im feeling grumpy days ago,anger
a close friend of the family died,sad
i feel abit annoyed leh,anger
i feel like the rich young ruler who wanted to follow god but refused to give up what he loved,joy
i was feeling frustrated with a simple dress i decided to make for maggie that was not working out,anger
i feel it would be rude of me not to give it a go a she is a good friend and she did spend money on it,anger
i feel like my life is getting more boring for each day that passes,sad
i was feeling adventurous today so i gave it a try today,joy
i feel stressed upset or frazzled i lace up and hit the streets or trails,sad
i feel he asked genuinely shocked,suprise
i still feel regretful about carene,sad
i just love it for its ability to make my skin feel super soft hydrated and brighter,joy
i feel so ashamed of myself,sad
i feel proud to be a californian an irish scottish english cherokee mix and a citizen of a country that had the good sense to welcome someone who exudes the kind of life sunshine my baby haitian does for me,joy
i signed up for berryman in january i decided to sign up for the marathon this year since with my disc problem i just wasnt seeing another miler in my future and even a marathon was feeling doubtful,fear
i feel like if youre gonna do something do it because it makes you happy,joy
i woke up late today feeling a little groggy from the cold and flu tablets i took before i slept,sad
i feel so honored to have been given this remarkable opportunity i was told that it is extremely rare for a civilian to be allowed inside a substation,joy
i think at first it made him feel very vulnerable to be suddenly living in a glass house but once i showed him that there would be no blow about to fall no disgust and no ridicule from me it made our relationship even closer,fear
i am and i am looking for some vest tops i have some shorts but long ones due to feel paranoid that i have cellulite everywhere,fear
i feel content i think,joy
i feel hayes doesn t come out strong until the end of the book,joy
i was feeling aggravated,anger
i feel so benign about it,joy
i had a forsythia lined path and when it bloomed for the first time in the spring i would feel joyful,joy
i jump from one post to another but i really do have to tell you about the excitement i feel i am shocked stunned and giddy ov,suprise
i still feel thrilled to be in the company of pure love,joy
i must focus on not feeling guilt for wanting and believing that i deserve it but its not necessarily because i am dissatisfied with what i have currently,anger
i am not sure what happened as i feel soo sure i had done it,joy
i begin to feel angered by our inability to proceed even though getting angry is not really my thing,anger
i even feel a little annoyed that a case may need a stylish update,anger
i am feeling unsure of gods love for me i start to doubt that david could love me and it puts stress on both relationships,fear
i need a purpose a feeling of doing something worthwhile,joy
i still feel shocked and wonder if it ever will sink in that little ol me is designing for prima,suprise
i cant see you without feeling heartbroken,sad
i am feeling there is someone longing for me and tho we are apart it is enough knowing that we a long for each other,love
i know she feels helpless but that kiss that cuddle the hug every morning and the love you every night,sad
i both feel genuinely very strongly about this and hate her and everything she stands for with a passion so i wouldnt be surprised if the issue is addressed in an upcoming madsannah video,suprise
i feel fine,joy
i also surround myself with other women in business who may be experiencing similar situations and connect with them regularly to keep from feeling isolated,sad
i was in the middle of a huge wireless store on a landline feeling like a chump trying to figure out what menu options will add up to fix what you broke so i can get a phone,sad
i feel so angsty and irritable today,anger
i am sure to please those with both of your inner most feelings then speak it with cute gifts like cakes valentine feel special and lovely,joy
i feel shitty that i kind of rushed this to move onto comics stuff i was working on but here it is,sad
i just would feel more convinced it someone in business said so,joy
i think i m tired of feeling unimportant,sad
ill admit that when blogs i regularly read open their lives to include readers in the bad i feel amazed at their bravery to share whatever horribleness they are going through,suprise
i find emotions somewhat hard to fathom my own and other peoples ironic really since the stuff of people s feelings is pretty much my day job,joy
i feel keeps the wow blogging community so rich and ever changing,joy
i reflected that we didn t feel that way not because we re jaded but because we felt that however big a footprint flipside left we had done enough living that we could keep it in perspective as part of the continuum of our lives not see it as a break in it,sad
i will feel horrible for letting him fall down the stairs,sad
im feeling a little overwhelmed here recently,fear
i have a feeling im just being neurotic or something though,fear
i feel so numb most days ive had enough,sad
i didn t want anyone to be killed but when they were i didn t want people to panic or feel completely devastated or paralyzed,sad
i feel numb again repressed alone,sad
i am i feel completely ungrateful,sad
i believe that is primarily because they do not feel a sense of purpose in the work they are doing and they do not feel valued by the company,joy
i feel like i wouldnt have a longing if only we could have a baby and have that new experience together,love
i was still feeling pretty shitty on christmas,sad
i feel at times helpless,sad
i feel like i must be some crappy teacher compared to their shiny new contracts,sad
i feel really sad that im no more going to study physics,sad
ive noted before the horseplayers organization is quick to take action when they feel as if their wallets are being directly threatened,fear
i know how to lose all your friends and feel terrible about yourself,sad
i had been feeling the gentle stroking of our face arms legs that is a trademark of the andromedans for a number of years,love
im actually feeling like blogging is weird and who would ever read this blog,fear
i an american yes but why do i feel so shamed when as much as i would like to give i cant,sad
i thought the best way to handle it was to make the elder aware and discuss the situation before feelings got hurt and things got out of hand,sad
i might really go crazy insane if i dont learn to control how i feel last week when i broke down i really lost it,sad
i also knew that if her feelings for me were real there was nothing else in the world that would be more valuable for me than to chase her,joy
i think he was feeling just a little bit needy,sad
i feel ungrateful as theyve been positively throwing stuff at us the icon with journalfen wilfully promulgating lies since was a gift by the way kudos heavywind actually queuing up to tweak the wiki entries like martyrs queuing up for the crucifixion,sad
i feel like a moronic idiot,sad
ive read that often abusers will purposely pick those who are successful so that they can make themselves feel superior in dragging someone down,joy
i also cant help but feel jesus isnt mad at me about it,anger
i feel i am more generous than him how horrible of me,love
i didnt mind that i spent most of yesterday reading watching tv and napping because it was sunday but today its left me feeling antsy and irritable with myself but that aside i still cant be bothered to do anything productive,anger
i haven t combed it in a couple of days and i m feeling a little insecure about whether it looks good,fear
i can be threatened from the roof of my house if i happen to feel threatened you know whilst lying down sniper style,fear
i feeling in any way smug because i am the plankton that my so called smug married friends though none is actually smug are having a bad time of it,joy
i have to let it out somehow i feel so useless even though i did everything out of ordinary,sad
im already feeling for my precious little angel is yet to grow times before i lay eyes on her or him,joy
i feel privileged to have a good job right out of school and am super excited to get to stay in bellingham,joy
i feel hesitant to get back to the city its just my fear of change and i know i ll love it once i settle into the daily grind,fear
i noticed all the metallic and glitter eyeliners and for just a second instead of feeling superior i wanted them,joy
i dont know and i dont feel like i have to be bothered about,anger
im already feeling inspired and i havent even left south carolina yet,joy
i everlastingly feel like i need her praise and i m everlastingly frightened of dependability a upset to disappoint her,fear
i was feeling especially brave so on our way home from amandas violin lesson we stopped at cvs and the dollar store,joy
i will feel insulted,anger
i feel free to follow any thread of thought with which i feel a particular affinity rather than sensing much in the way of social pressure to think this a way or think that a way,joy
i feel that i should warn you that there may or may not be people of unsavory character downstairs tonight,sad
i am starting to feel like a worthless person,sad
i get so few comments ever i feel that i should leave some kind of acknowledgment in return of the fact that they bothered to read and comment,anger
i can usually offer slightly better terms and feel assured that the land itself is my primary source of collateral,joy
i feel like theres a dangerous chance that im pulling a don quixote on this blinding rushing at the windmill that is my eventual marriage or future child,anger
i i feel as if no one wants to bring up secretary clinton or even before he resigned david petraeus because frankly they are seen as so popular in the nation s capital,sad
i have my own space i have a heart in a safe community and i feel a love for life and self supporting me,love
i couldnt feeling disappointed with reunion although like a surprising number of episodes the last quarter hour salvaged it to some extent,sad
i gave examples of a whole range of questions that you could ask your employees in order for them to feel valued and validated in short to answer the question do you hear me,joy
i couldnt help feeling mournful for quite a long long while,sad
i couldn t help but asking what was his feeling about it and got quite surprised when he replied i never released on numbers but i almost did very early on,suprise
i was a little concerned about it going in because i havent been feeling that sociable but it was all right,joy
i havent been getting a lot of sleep lately so im feeling grumpy,anger
i hate feeling so helpless,sad
i got the feeling that if i didnt just eat everything in sight then i would be doomed to never have anything good,sad
i have it on i feel glamorous and child like at the same time,joy
i feel as if this must be what it feels to be mad,anger
i feel like the most in love with you sincere man in the world would dump your body and a lake and got have drinks with his friends,joy
i can feel that my heart is way from the tender one it used to be,love
i had spent all weekend feeling depressed with all the christmas music playing,sad
i feel very privileged to be able to tell you that the university of leicester is one of only two universities in the uk to have its own literary festival,joy
i feel numb and lost disconnected and unsure,sad
i grew up i fought it a little less and started to put the feelings of others before my own which was not a smart thing,joy
i feel like ive fucked everything up forever,anger
i feel inadequate in my role but like the song mentioned we know we re at the mercy of god s higher ways and our ways are so small and i will have to just keep persevering even when it is tough,sad
ive already started doing that is making me feel more relaxed prioritizing my yoga practice and adding more breath work and meditation instead of skipping it or crusing through it like im often tempted to do when im busy which is to say all the time sighing its simple but it a href http www,joy
i find myself feeling resigned in some way,sad
i am feeling really blessed to still be alive and i will not take it for granted anymore,love
i almsot wish she didnt even ask because it feels insincere,anger
i feel sorry for people whose morales are corrupted inside out whose goals and missions in life seems only to make others feel miserable,sad
i woke up this morning feeling very agitated expectant and apprehensive,fear
i was not feeling my most creative i had a difficult time trying to bring in a third color that i liked so i just went with the dark pink corduroy from the skirt for the applique,joy
i am feeling is also a blossoming eager anxiety,joy
i want lazy laid back days but ones that feel rich,joy
i feel fully appreciative of the genius casting of michael cera as jason batemans son,joy
i feel like i am being held up by so many supportive people right now and i feel truly blessed,love
i remember feeling devastated over the loss of my thumbelina figurine in second grade,sad
i feel amazing and will dress up and others i feel like i could be doing better and that s when i just curl up on the couch and watch netflix all day,suprise
i wasnt feeling such a mellow band at the moment,joy
i remember feeling shocked that she would do that,suprise
i feel so very blessed and thank my heavenly father for my faith family friends and the freedom we enjoy,joy
i am here your friends are here and though it does not feel like it at the moment you are extremely privileged and blessed,joy
i mentioned before its easy for me to feel compassionate towards some things and not towards others,love
i think william is feeling more successful and i know i am feeling much less frustrated,joy
i in the spring while the sessions can range from transcendent to interminable and the attendee pools overlap far less than i personally feel they ought i always come away invigorated even when as now i m about to get on a red eye flight to be followed by a day of meetings,joy
i went into this feeling confident at first but the last weeks of training really put a damper on me,joy
i feel ive been neglecting my beloved annie lately so i was thrilled to see her look so radiant in this colorful prada dress,joy
i know i should feel remorseful for sitting at the bar with one of my besties downing free shots from the super cute bartender but i do not,sad
i cool down then apologizes for whatever thing he did or didnt do that made me feel unloved real or imagined,sad
i have a feeling this one is going to be popular this week but i list it here for likely different reasons,joy
i feel more than a little overwhelmed,fear
i was last here i can feel a much darker spirit over this place much more despair very little optimism about resolving the issues that need to be resolved and i was horrified to see the fences,joy
i proceeded to witness the loss of a friend in a horrid way which i will not utter through words because it will not capture the true feelings and events of that tragic day,sad
i cried when tears come to me when i feel so low and sad,sad
i had a feeling these hunters had a strange fetish,fear
i have feel twice as miserable as when i started,sad
i feel safe in saying that it will be remembered for some time to come,joy
i usually do not like to blab out feelings or thoughts publicly as i tend to think that makes me seem whiney or like im trying to grab attention but it seems like one of those rare occasions when im being prompted to,sad
im the only astro person here so i work by myself its difficult to communicate with my collaborators so i feel very isolated,sad
i do not feel that dull ache either,sad
i guess i just feel surprised by myself,suprise
i appreciate their gentle guidance and valuable advice for some reason i still feel intimidated and embarrassed,fear
im feeling festive today because its my best friends birthday,joy
i feel about the election is that i m glad it will be over,joy
i feel like this because i fucked you,anger
i did feel too depressed,sad
i feel i cannot write elegant enough words to portray cash the way i want to,joy
i feel better about me when i help you,joy
i could feel another vicious headache coming on and ignored the temptation to rub my temples in front of my men,anger
i feel i should not be troubled by victory or defeat,sad
i countered feeling slightly insulted,anger
i kinda feel like i wrote this blog to just say hey my friends are ephin cool,joy
i like singing church smores ballet feeling graceful whilst doing said ballet panic,joy
i feel compassionate towards my friend because i know he s having a hard time in which case i don t have to do anything at all,love
id been struggling with feeling highly irritable toward my husband,anger
i feel grouchy because i should have the day off shouldnt i,anger
i dont feel submissive at all i know thats my fault and it isnt that i dont want to as i long for time when it becomes a natural thing for me instead of feeling a lot of times like i have the upper hand,sad
i feel like the people that are faithful sometimes get overlooked,love
i feel liked am really enjoying motherhood,love
i havent been feeling very successful as of late,joy
i just feel like the person that carl fell in love with is lost,sad
i still feel pissed over the fact that u actually sabo ed me,anger
i want less grey areas and fewer doctors feeling that they are fucked regardless of what they do,anger
ive fallen asleep it feels like and shes even more pissed,anger
i guess this will help me pay off debt faster but something tells me i am just going to end up spending it on drinking and partying in the short term because i feel so shitty,sad
i feel this valuable article will add more value to our honorable subscribers,joy
i don t need as much sleep and i feel peaceful inside,joy
i am feeling really lousy i take out the diy therapy chart and look up the emotion i am experiencing,sad
i feel nor heartless is what i am getting,anger
i don t beat up on anyone with words or bitterness i don t try to control any person s life i don t feel out of control and violent when things don t go my way blah blah blah,anger
i feel dirty i feel small i feel inadequate,sad
i feel a little bit ashamed of myself for letti,sad
i am feeling particularly spiteful toward casual fun runners and want to block their path with my carcass,anger
i feel smug for it,joy
i feel you could be delighted,joy
i feel so shocked happy excited when i look into my blogger,suprise
i forget how it feels to make no real plans to go anywhere because i was not sure we would not be in the hospital,joy
i had in a few short hours landed some very nice carp i did feel a little disappointed as the conditions were text book for big perch and it felt so right,sad
i feel about caring for it,love
i feel if you re gonna eat a cookie then eat a cookie one that is sinfully delicious,joy
i feel foolish because im at the pool for heavens sake with my kids but i cant stop,sad
i feel really needy today,sad
i genuinely feel a little remorseful,sad
i feel uncertain and not entirely safe,fear
i started feeling like i was not being valued and in some cases i began convincing myself that i was the good guy in certain situations,joy
i only know this one after the fact and i ll tell ya the moment i realize i feel humiliated my palms actually sweat,sad
i can feel the sun hitting the architecture and the mood within this painting carries an amazing feeling of happiness,joy
i also need to remember how bad overeating makes me feel not just the fullness but the hangover i get from food thats too rich or too sugary,joy
i feel uncomfortable about it but ive just let it go,fear
i feel privileged,joy
i feel awkward saying vulva or even vagina because i ve been conditioned for years and years to avoid saying it,sad
i feel quite passionate when it comes to directing especially when it comes to theatre and film,joy
i still feel afraid and nervous but i know im not alone,fear
i feel blessed that they enjoy those activities just like i do,love
i know what i want and how to get it i wil go after it with drive and determination but when people tell me that going at my own pace is quitting i don t feel like the most gracious person in the world,joy
i can t shake the feeling that i m making a foolish decision,sad
i feel smug when it s all done,joy
i feel so pleased like i had no regrets in this world,joy
i sometimes just feel like i am losing my grip and the precious moments that i long for,joy
i was hiding and feeling low i was away from somewhere else that meant i became an outsider and now whenever i go there i feel sick with fear because i don t know what i m walking into,sad
i have to be willing to follow promptings even if i feel foolish or awkward,sad
i found myself sweating and getting anxious during the game and feeling irate when the game began to look iffy for the steelers especially when the refs were blowing calls,anger
i feel a gentle or not so gentle kick or nudge from my precious daughter and i remember again what a miracle it is that she even exists,love
i freely accept gods grace for me however i believe i am above that standard when someone else makes what i feel to be a dumb or lazy mistake,sad
im feeling generous because this is my birthday month,joy
i feel really sorry for people who is lose one of their abilities and i really respect them for their insistence on live,sad
i never got the feeling that she was surprised or honored to be zacarias lifemate and that s something i really had expected,suprise
i hate it when people have to blame their upset feelings and situations towards other innocent and or cautious individuals,joy
i can feel him there supporting me lifting me,joy
im sure that what youre supposed to feel what most people feel when they find out someone is jealous of them is pride,anger
i began to feel impatient and puzzled which somehow had translated to my facial expression that was my fault but usually i don t hide my feelings,anger
i feel hella intelligent on that subject,joy
im tired that i feel annoyed that my husband does this when i know he is one of the most amazing husbands ever and is doing way more than most husbands do,anger
i feel is particulary successful,joy
i dont know but i feel so compassionate when im writing,love
i say my feelings for you are sincere and i would like nothing better than to kiss you again and more,joy
i have no qualms of walking out of a dealership if i feel disrespected ignored or patronized at any point in time,sad
i live the less time and energy i have for anything that does not make my heart and soul feel joyful happy and satisfied,joy
i should be able to head shot someone at the other end of a football field because i feel threatened by them,fear
i feel slutty quote,love
i feel the most lost stuck tired depressed,sad
i feel really though that version of myself isn t very user friendly so i ll go back to coming up with reasons about why my life would be so much better if i was taller and had brown hair,joy
i feel stunned all my senses violated in the most wonderful way,suprise
i tried to work out why i feel agitated with them rather than flattered,anger
i feel like i m supporting a teenager when i should be on a team with my significant other and it s killing us,joy
i feel like the cold weather just left yet i also feel it right around the corner waiting to come back,anger
i feel seriously threatened,fear
i feel that they are vulnerable in the coming election given their performance,fear
i feel like im being ungrateful to him,sad
i feel pretty a href http www,joy
i feel grouchy when i m not eating breakfast,anger
im at the age where most people tend to start going in that direction and i feel that im doomed to roam around the world alone and never to get to have the chance to experience it,sad
i sit down to pen these lines i get the feeling that the person about whom i am going to write is probably the most beloved son of this great nation,love
i feel so fucked,anger
i feel a divine gaze following me like the eyes of the mona lisa it will not let me go or release me from its grip and i truly know i have never been alone in all my sacred journeys and endeavors,joy
i feel the lack of success deals with administration more specifically the lack of administration supporting and communicating with key stake holders like teachers,love
i don t have anything to offer here though and that made me feel helpless,sad
i hope this might create a generation of kids that learns to never fear sharing openly with people they feel safe with,joy
i feel like pac i fee like biggie track from suffering from success khaled reasons that rick ross brash unapologetic lyrics allowed the miami rapper to occupy a space in hip hop once owned by the fallen legends,sad
i am feeling jealous i remind myself of this story and it keeps me on the path to better living,anger
i would look at that page and feel satisfied almost ecstatic with what id produced,joy
i feel glad to see the article titled when humour kills by purvaja sawant in times life of toi,joy
i feel very honored that sam was asked to be involved in it and that i was allowed to tag along,joy
i experience is bringing an inexplicable feeling and longing for the sacred,love
im feeling very appreciative of all that i have,joy
i have to honor that feeling i think because it has to be gone through and accepted that the future and present many of my old schoolmates are having i wont experience and thats really okay but its also okay to be a little sad too,love
im suffering from writers block or am feeling disillusioned or hopeful or even both at once strangely plausible when youre me i may choose to write about it in here,sad
im defensive which is never good but its making me feel hostile towards people who are being annoying or trivial,anger
i fell asleep feeling so contented,joy
i am feeling and the wishing it hadn t happened i don t feel devastated as i have in the past,sad
i feel about philip today the way i would feel about a beloved son who had gone into a life of crime,love
ive explained why i love this brand so i feel i would like to stay loyal to it,love
i came out of it feeling thankful for god the gospel and my husband who seriously exhibited so much love and patience and diligence,joy
i am definitely feeling the surge and sift of the hormones as it doesnt take much to make me weepy these days,sad
i feel frantic sometimes like im being forced into something and you know im not good with people making decisions for me,fear
ive been feeling really irritable,anger
i heard that a friend had died in an accident group situation suddenly a friend came in and said have you already heard that there was a terrible consternation,sad
i really feel so unimportant to you,sad
i feel your pain hunny because i know that the mop on top takes a lot of work and im sure you already know that,joy
i am still feeling dull and uninspired so today i will be doing the same type of post i did yesterday,sad
i still feel in my life it has been wonderful to have their help and for oliver to experience such a loving environment,joy
im hopeful that judd will be able to assemble a cast he feels passionate about and that hell be able to tell some great stories,joy
i went back a couple weeks later with my mom during the dress sale not feeling particularly hopeful that wed find the one and of course we did,joy
i am a very different person now much more confident and i feel proud,joy
i feel like im getting stronger and supportive of myself and then boom,love
i spent way too much of my youth longing for the things i thought would make me happy only to discover those things have a way of feeling empty if you dont already enjoy life,sad
i feel sure it will completely crash and burn tomorrow as this is the nature of my life,joy
i can feel her pissed off attitude towards me from far away,anger
i often reminded myself that i would rather feel miserable and be pregnant than feel great and not be pregnant,sad
i feel like someone who does for others should be admired,love
i kind of feel like i m being punished,sad
i feel like all the pictures i post of myself on here are never all that cute,joy
i feel so ungrateful because despite all the wonderful things that i ve done over the past couple of weeks and i have enjoyed them so much i still can t help but feel as if i m killing time,sad
i feeling fearful and insecure when i have a big god backing me up,fear
i feel extremely guilty i chat with people with whom i have no common topics to chat about i send a lot of emails,sad
i am lonely or feel worthless,sad
i wonder if the cops ever feel horny and feel up the boys as they are frisking them,love
i told a friend last week its all good busy and i feel that my life is really wonderful and i am so blessed to get to do what i love,joy
i woke this morning feeling really groggy and didnt want to go out at all but of course its sunday and i know that if i go out to church i will feel so much better,sad
i do and i work hard so if you re not a teacher and feeling resentful why don t you do a teaching degree,anger
im feeling like a hour nurse maid fry cook for a couple of really cute assholes,joy
i chatted with a few young rastafari lookers who played in the bands feeling thrilled by the body and calm presence of i,joy
i did lied my feelings towards you were sincere,joy
i was failing to perform my expected duties and worrying about things i may have forgotten yesterday when i was starting to feel rather crappy,sad
i feel like the ends coming near your music s like lending an ear helping my troubled soul find its way through the dark with your sugarland heart,sad
i feel the joy and i am determined to share it with others,joy
